1,1.6366,32.968,148.01
2,1.6366,33.734,41.637
3,1.6366,34.02,84.939
4,1.6366,56.372,88.208
5,1.6366,61.498,149.34
6,1.6366,66.798,54.083
7,1.6366,72.771,35.449
8,1.6366,87.142,132.33
9,1.6366,87.869,104.57
10,1.6366,105.27,65.609
11,1.6366,115.54,33.447
12,1.6366,144.29,85.867
13,1.6366,157.6,33.397
14,1.6366,159.52,36.364
15,1.6366,160.68,34.021
16,1.6366,165.36,144.26
17,1.6366,189.69,74.58
18,1.6366,190.92,63.731
19,1.6366,61.386,72.019
20,1.6366,66.991,58.864
21,1.6366,85.162,125.95
22,1.6366,113.98,39.739
23,1.6366,41.561,44.708
24,1.6366,74.816,99.843
25,1.6366,80.069,142.81
26,1.6366,111.99,53.736
27,1.6366,168.31,143.18
28,1.6366,187.08,72.573
29,1.6366,141.43,84.857
1,2.1449,31.27,149.49
2,2.1449,27.565,41.78
3,2.1449,28.067,84.106
4,2.1449,50.061,87.909
5,2.1449,56.99,149.49
6,2.1449,60.711,53.134
7,2.1449,66.822,33.688
8,2.1449,81.416,130.65
9,2.1449,81.714,104.16
10,2.1449,99.08,65.404
11,2.1449,109.61,32.245
12,2.1449,138.41,84.859
13,2.1449,151.5,32.899
14,2.1449,153.45,35.96
15,2.1449,154.6,33.52
16,2.1449,159.53,142.77
17,2.1449,183.95,73.153
18,2.1449,184.87,62.938
19,2.1449,55.552,70.156
20,2.1449,60.962,57.677
21,2.1449,79.415,124.3
22,2.1449,108.06,38.39
23,2.1449,40.591,46.729
24,2.1449,68.881,99.81
25,2.1449,74.124,141.62
26,2.1449,106.14,52.134
27,2.1449,162.55,141.77
28,2.1449,181.21,71.25
29,2.1449,135.45,84.069
1,2.3987,27.011,149.72
2,2.3987,24.164,41.856
3,2.3987,24.08,84.65
4,2.3987,46.669,87.923
5,2.3987,53.609,149.99
6,2.3987,57.404,53.176
7,2.3987,63.705,33.257
9,2.3987,78.243,104.24
10,2.3987,95.779,65.486
11,2.3987,106.49,32.217
12,2.3987,135.49,85.114
13,2.3987,148.4,33.084
14,2.3987,150.28,36.139
15,2.3987,151.55,33.614
16,2.3987,157.27,142.76
18,2.3987,183.31,63.368
19,2.3987,53.55,70.136
20,2.3987,57.993,57.93
22,2.3987,105.06,38.235
23,2.3987,37.17,46.503
24,2.3987,65.61,99.893
25,2.3987,70.991,142.11
27,2.3987,160.2,141.89
28,2.3987,180.44,71.99
29,2.3987,132.27,84.208
1,2.6474,24.659,150.33
2,2.6474,21.512,41.909
3,2.6474,19.744,82.871
4,2.6474,44.509,87.757
5,2.6474,51.225,149.7
6,2.6474,55.192,52.998
7,2.6474,61.559,33.283
9,2.6474,75.93,103.98
10,2.6474,93.682,65.421
11,2.6474,104.41,32.287
12,2.6474,133.76,84.919
13,2.6474,145.99,33.366
14,2.6474,147.88,36.409
15,2.6474,149.13,33.822
16,2.6474,155.16,142.57
18,2.6474,180.45,63.104
19,2.6474,51.055,69.916
20,2.6474,55.804,57.686
22,2.6474,102.92,38.327
24,2.6474,62.999,99.603
25,2.6474,68.921,142.39
27,2.6474,158.32,141.59
28,2.6474,177.49,71.958
29,2.6474,130.34,84.036
1,2.9951,18.631,150.39
2,2.9951,15.256,41.873
4,2.9951,38.431,87.665
5,2.9951,45.87,150.29
6,2.9951,49.261,52.633
9,2.9951,69.902,104.05
10,2.9951,87.652,65.388
11,2.9951,98.665,31.802
